cycle,capacities,Voltage,Current,resistance,SOH
1,1.126384507,3.644666101,-1.099666734,0.094009422,1.023985915
2,1.126159816,3.646792629,-1.0996205,0.091661021,1.023781651
3,1.125965708,3.646432596,-1.099636393,0.094648689,1.023605189
4,1.118507686,3.658435179,-1.09971122,0.091412842,1.016825169
5,1.117210075,3.662537154,-1.099749088,0.091412842,1.015645523
6,1.113753551,3.656403776,-1.099754914,0.088416383,1.012503228
7,1.098818144,3.650284611,-1.099635102,0.092305116,0.998925585
8,1.096180326,3.645769061,-1.099614377,0.093030766,0.996527569
9,1.08987113,3.651346153,-1.099614756,0.090849862,0.990791937
10,1.087582295,3.646271501,-1.099626697,0.091578141,0.988711178
11,1.094747895,3.654416673,-1.099710599,0.090685725,0.995225359
12,1.095568286,3.659443091,-1.099720962,0.089794911,0.995971169
13,1.095432918,3.660966406,-1.099732804,0.08898595,0.995848107
14,1.095223222,3.661643144,-1.099774254,0.08744695,0.995657475
15,1.094804056,3.662175243,-1.099760931,0.08744695,0.995276414
16,1.094444882,3.662837388,-1.099808302,0.086872682,0.994949893
17,1.094044211,3.663262004,-1.099808302,0.087526016,0.994585646
18,1.093461422,3.663135947,-1.099818664,0.087368026,0.994055838
19,1.092733219,3.66259323,-1.099803861,0.088097483,0.993393836
20,1.088853679,3.67036839,-1.099816254,0.086637259,0.989866981
21,1.088381413,3.670106167,-1.099814762,0.086637259,0.989437649
22,1.087994962,3.669913511,-1.099869987,0.085905157,0.98908633
23,1.087629019,3.669898794,-1.099855061,0.087368026,0.988753653
24,1.087233549,3.669670008,-1.099826702,0.085017867,0.988394136
25,1.08679975,3.669058593,-1.099849092,0.086559057,0.987999773
26,1.086397688,3.668348172,-1.099878944,0.086559057,0.987634262
27,1.07646084,3.658084649,-1.099729523,0.087368026,0.978600764
28,1.068281322,3.653865582,-1.099638299,0.089876033,0.971164838
29,1.06187103,3.657072516,-1.099631238,0.089794911,0.9653373
30,1.060449954,3.653874587,-1.09963889,0.089957289,0.964045413
31,1.059070352,3.649362368,-1.099600627,0.091412842,0.962791229
32,1.068431632,3.661455168,-1.099708111,0.088256642,0.971301483
33,1.069764576,3.66644778,-1.0997673,0.08898595,0.972513251
34,1.061246736,3.661816587,-1.099692459,0.086559057,0.96476976
35,1.052803839,3.656085114,-1.099619425,0.090685725,0.957094399
36,1.051496984,3.653021737,-1.09960862,0.089876033,0.955906349
37,1.050788537,3.651750175,-1.099597815,0.089227542,0.955262307
38,1.049771042,3.647914728,-1.099588553,0.090603873,0.954337311
39,1.059165526,3.659917864,-1.099698581,0.090685725,0.962877751
40,1.060456277,3.664726415,-1.099764394,0.08898595,0.964051161
41,1.057632133,3.658019135,-1.09972613,0.088176988,0.961483757
42,1.048273703,3.647077626,-1.099611707,0.089308366,0.952976094
43,1.043392805,3.654763892,-1.099598068,0.090685725,0.948538913
44,1.042916764,3.654159614,-1.099599625,0.089957289,0.948106149
45,1.042017256,3.652458417,-1.099582498,0.090767719,0.947288414
46,1.04972441,3.655638202,-1.099667277,0.089957289,0.954294918
47,1.051906223,3.664225061,-1.09971976,0.08898595,0.956278385
48,1.056326663,3.658814846,-1.09975368,0.088176988,0.960296967
49,1.041467215,3.652664966,-1.099587169,0.090603873,0.946788377
50,1.041002884,3.651428492,-1.099602738,0.090603873,0.946366258
51,1.040485113,3.649878013,-1.099594954,0.090603873,0.945895557
52,1.039212144,3.64738972,-1.099576271,0.089876033,0.944738313
53,1.086998241,3.654939746,-1.0996461,0.088336438,0.988180219
54,1.08060739,3.658651247,-1.099618152,0.089794911,0.982370355
55,1.086749406,3.663401962,-1.099719237,0.088176988,0.987954005
56,1.086558905,3.664561914,-1.099766999,0.086559057,0.987780823
57,1.077421786,3.65388911,-1.099646747,0.08898595,0.979474351
58,1.070168259,3.65526814,-1.099632228,0.089794911,0.972880235
59,1.068724015,3.651985533,-1.099629193,0.08898595,0.971567286
60,1.059973758,3.644088731,-1.099524101,0.091495417,0.963612507
61,1.060902188,3.65198135,-1.099599097,0.088496469,0.964456534
62,1.05967818,3.64919088,-1.09960828,0.091495417,0.9633438
63,1.051177013,3.642398158,-1.099548419,0.092305116,0.955615466
64,1.050114387,3.640573135,-1.099517547,0.0939245,0.954649443
65,1.044345654,3.647036639,-1.099515551,0.092305116,0.94940514
66,1.043579684,3.646550982,-1.09952645,0.091495417,0.948708803
67,1.04143387,3.639108428,-1.09950621,0.092472181,0.946758064
68,1.042326438,3.645696897,-1.099537348,0.091578141,0.947569489
69,1.041955783,3.646031834,-1.099570043,0.092305116,0.94723253
70,1.034641963,3.644501906,-1.099518232,0.093030766,0.940583602
71,1.033443463,3.641928625,-1.099502527,0.0939245,0.939494057
72,1.03291745,3.641966635,-1.099486823,0.093198992,0.939015863
73,1.032427234,3.641564031,-1.099500957,0.092305116,0.938570213
74,1.025694489,3.642260673,-1.099497196,0.093198992,0.932449536
75,1.03208333,3.643157555,-1.099555923,0.092305116,0.938257573
76,1.031910898,3.643613643,-1.099566916,0.091495417,0.938100816
77,1.031384485,3.641896248,-1.099566916,0.09238857,0.937622259
78,1.030364006,3.640105654,-1.099559063,0.091495417,0.936694551
79,1.025377354,3.647520538,-1.099557397,0.091578141,0.932161231
80,1.025316924,3.648486171,-1.099555812,0.093114808,0.932106294
81,1.024726664,3.647719341,-1.099590665,0.091495417,0.931569694
82,1.023678922,3.644907646,-1.09957007,0.092305116,0.930617202
